function,dataset,num_clusters,mst_time,total_time,vertices,edges
PURE_PYTHON,2d-20c-no0,20,0:00:36.461894,0:00:39.677585,1517,1149886
PURE_PYTHON,2sp2glob,4,0:01:10.052285,0:01:12.403634,2000,1999000
PURE_PYTHON,3-spiral,3,0:00:03.713604,0:00:03.925655,312,48516
PURE_PYTHON,D31,31,0:01:58.717089,0:02:03.135755,3100,4803450
PURE_PYTHON,spiralsquare,6,0:00:35.277554,0:00:36.517650,1500,1124250
PURE_PYTHON,square1,4,0:00:19.470384,0:00:20.389452,1000,499500
PURE_PYTHON,twenty,20,0:00:19.650523,0:00:20.609756,1000,499500
PURE_PYTHON,fourty,40,0:00:20.002528,0:00:20.931530,1000,499500
FULL_SPARK,2d-20c-no0,20,0:07:22.007436,0:07:23.288961,1517,1149886
FULL_SPARK,2sp2glob,4,0:07:56.839348,0:07:59.102739,2000,1999000
FULL_SPARK,3-spiral,3,0:06:28.230524,0:06:28.456664,312,48516
FULL_SPARK,D31,31,0:09:54.151555,0:09:59.302144,3100,4803450
FULL_SPARK,spiralsquare,6,0:07:34.624273,0:07:35.913979,1500,1124250
FULL_SPARK,square1,4,0:07:20.730520,0:07:21.674930,1000,499500
FULL_SPARK,twenty,20,0:06:47.178885,0:06:48.515870,1000,499500
FULL_SPARK,fourty,40,0:07:31.269070,0:07:32.218874,1000,499500
INTERMEDIATE_COLLECT,2d-20c-no0,20,0:02:06.001144,0:02:09.650551,1517,1149886
INTERMEDIATE_COLLECT,2sp2glob,4,0:02:42.650955,0:02:44.739559,2000,1999000
INTERMEDIATE_COLLECT,3-spiral,3,0:01:18.317300,0:01:18.536297,312,48516
INTERMEDIATE_COLLECT,D31,31,0:04:27.668270,0:04:31.580657,3100,4803450
INTERMEDIATE_COLLECT,spiralsquare,6,0:02:04.115688,0:02:05.448943,1500,1124250
INTERMEDIATE_COLLECT,square1,4,0:01:45.404711,0:01:46.390711,1000,499500
INTERMEDIATE_COLLECT,twenty,20,0:01:53.061722,0:01:54.215701,1000,499500
INTERMEDIATE_COLLECT,fourty,40,0:01:42.946148,0:01:43.948954,1000,499500
CONFIG,2d-20c-no0,20,0:01:03.499920,0:01:04.840895,1517,1149886
CONFIG,2sp2glob,4,0:01:44.947972,0:01:47.854994,2000,1999000
CONFIG,3-spiral,3,0:00:14.757022,0:00:14.982054,312,48516
CONFIG,D31,31,0:03:29.641795,0:03:34.868421,3100,4803450
CONFIG,spiralsquare,6,0:01:06.115624,0:01:07.370788,1500,1124250
CONFIG,square1,4,0:00:37.847993,0:00:38.891309,1000,499500
CONFIG,twenty,20,0:00:38.022313,0:00:38.985543,1000,499500
CONFIG,fourty,40,0:00:37.172693,0:00:38.530696,1000,499500
DATAFRAMES,2d-20c-no0,20,0:01:58.179615,0:01:59.457748,1517,1149886
DATAFRAMES,2sp2glob,4,0:02:20.512932,0:02:22.939954,2000,1999000
DATAFRAMES,3-spiral,3,0:01:16.328887,0:01:16.556919,312,48516
DATAFRAMES,D31,31,0:03:32.637739,0:03:37.381058,3100,4803450
DATAFRAMES,spiralsquare,6,0:01:53.715518,0:01:55.084867,1500,1124250
DATAFRAMES,square1,4,0:01:33.674047,0:01:34.682779,1000,499500
DATAFRAMES,twenty,20,0:01:35.745518,0:01:36.833629,1000,499500
DATAFRAMES,fourty,40,0:01:35.382621,0:01:36.390158,1000,499500
SINGLE_PARTITION,2d-20c-no0,20,0:01:08.610055,0:01:10.040133,1517,1149886
SINGLE_PARTITION,2sp2glob,4,0:01:58.031544,0:02:00.727643,2000,1999000
SINGLE_PARTITION,3-spiral,3,0:00:19.848562,0:00:20.080532,312,48516
SINGLE_PARTITION,D31,31,0:03:23.197159,0:03:28.211709,3100,4803450
SINGLE_PARTITION,spiralsquare,6,0:01:08.568728,0:01:09.932867,1500,1124250
SINGLE_PARTITION,square1,4,0:00:44.379927,0:00:45.358858,1000,499500
SINGLE_PARTITION,twenty,20,0:00:41.429483,0:00:42.533627,1000,499500
SINGLE_PARTITION,fourty,40,0:00:40.696794,0:00:41.790307,1000,499500
SINGLE_FUNCTION,2d-20c-no0,20,0:07:15.372412,0:07:16.729535,1517,1149886
SINGLE_FUNCTION,2sp2glob,4,0:07:54.368364,0:07:56.766065,2000,1999000
SINGLE_FUNCTION,3-spiral,3,0:06:28.926171,0:06:29.154140,312,48516
SINGLE_FUNCTION,D31,31,0:09:21.484796,0:09:26.488582,3100,4803450
SINGLE_FUNCTION,spiralsquare,6,0:07:19.074937,0:07:20.452986,1500,1124250
SINGLE_FUNCTION,square1,4,0:06:56.153978,0:06:57.123668,1000,499500
SINGLE_FUNCTION,twenty,20,0:06:56.284906,0:06:57.310006,1000,499500
SINGLE_FUNCTION,fourty,40,0:06:56.085922,0:06:57.083142,1000,499500
SINGLE_SLICE,2d-20c-no0,20,0:01:04.715874,0:01:06.421902,1517,1149886
SINGLE_SLICE,2sp2glob,4,0:01:51.837550,0:01:54.515990,2000,1999000
SINGLE_SLICE,3-spiral,3,0:00:16.563855,0:00:16.785856,312,48516
SINGLE_SLICE,D31,31,0:03:35.655978,0:03:40.893433,3100,4803450
SINGLE_SLICE,spiralsquare,6,0:01:06.746209,0:01:08.035285,1500,1124250
SINGLE_SLICE,square1,4,0:00:38.486050,0:00:39.449884,1000,499500
SINGLE_SLICE,twenty,20,0:00:36.424178,0:00:37.417686,1000,499500
SINGLE_SLICE,fourty,40,0:00:37.946461,0:00:38.940801,1000,499500
